trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
114,False,"{'a': 0.002, 'e': 0.7977181016656743}",30,18,-7.466603075122002,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
115,False,"{'a': 0.002, 'e': 0.7961242598354538}",25,0,-59.719717123307156,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
116,False,"{'a': 0.002, 'e': 0.794533602503334}",30,10,-42.52657409198151,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",1
117,False,"{'a': 0.002, 'e': 0.7929461233066837}",25,0,-117.30739569716575,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",1
118,False,"{'a': 0.002, 'e': 0.7913618158955839}",20,0,-123.18588761389694,"{0: 10, 1: 5, 2: 3, 3: 0, 4: 2}",0
119,False,"{'a': 0.002, 'e': 0.7897806739328027}",20,0,-153.993829520293,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
120,False,"{'a': 0.002, 'e': 0.7882026910937704}",25,0,-295.27311993517577,"{0: 9, 1: 3, 2: 7, 3: 1, 4: 5}",0
121,False,"{'a': 0.002, 'e': 0.7866278610665535}",20,5,-4.483665427504846,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
122,False,"{'a': 0.002, 'e': 0.7850561775518295}",25,0,-65.05243279009116,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
123,False,"{'a': 0.002, 'e': 0.7834876342628625}",30,17,-41.54222802379926,"{0: 8, 1: 0, 2: 5, 3: 0, 4: 0}",1
124,False,"{'a': 0.002, 'e': 0.7819222249254772}",25,0,-86.19682975915713,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
125,False,"{'a': 0.002, 'e': 0.7803599432780343}",20,0,-59.65695601603351,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
126,False,"{'a': 0.002, 'e': 0.7788007830714049}",30,12,-95.20530620405327,"{0: 9, 1: 1, 2: 7, 3: 0, 4: 1}",1
127,False,"{'a': 0.002, 'e': 0.7772447380689461}",25,11,-60.80328031185567,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 1}",1
128,False,"{'a': 0.002, 'e': 0.775691802046476}",25,0,-76.05201951196874,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
129,False,"{'a': 0.002, 'e': 0.7741419687922484}",25,0,-72.08579875853884,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
130,False,"{'a': 0.002, 'e': 0.772595232106928}",25,0,-68.81166163611115,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
131,False,"{'a': 0.002, 'e': 0.7710515858035663}",25,0,-75.99631250676592,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",0
132,False,"{'a': 0.002, 'e': 0.7695110237075758}",25,1,-81.59782597589798,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 1}",1
133,False,"{'a': 0.002, 'e': 0.7679735396567061}",20,0,-86.89695704499628,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
134,False,"{'a': 0.002, 'e': 0.7664391275010192}",25,0,-13.310473753930722,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
135,False,"{'a': 0.002, 'e': 0.764907781102864}",30,0,-41.38061035708626,"{0: 21, 1: 4, 2: 5, 3: 0, 4: 0}",0
136,False,"{'a': 0.002, 'e': 0.7633794943368531}",20,0,-46.00073436746413,"{0: 11, 1: 6, 2: 3, 3: 0, 4: 0}",0
137,False,"{'a': 0.002, 'e': 0.7618542610898376}",30,0,-142.74281411675798,"{0: 20, 1: 1, 2: 6, 3: 1, 4: 2}",0
138,False,"{'a': 0.002, 'e': 0.7603320752608821}",25,0,-121.1126374614147,"{0: 15, 1: 0, 2: 8, 3: 1, 4: 1}",0
139,False,"{'a': 0.002, 'e': 0.7588129307612413}",25,18,-41.08344654704624,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
140,False,"{'a': 0.002, 'e': 0.7572968215143355}",25,0,-47.94538087056765,"{0: 17, 1: 4, 2: 3, 3: 1, 4: 0}",0
141,False,"{'a': 0.002, 'e': 0.7557837414557255}",30,0,-61.27329851680391,"{0: 21, 1: 0, 2: 9, 3: 0, 4: 0}",0
142,False,"{'a': 0.002, 'e': 0.754273684533089}",25,0,-15.995793897226681,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
143,False,"{'a': 0.002, 'e': 0.7527666447061963}",20,0,-41.256347129357856,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
144,False,"{'a': 0.002, 'e': 0.751262615946886}",20,0,-39.05528230030535,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
145,False,"{'a': 0.002, 'e': 0.7497615922390413}",20,0,-72.94930299547453,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",1
146,False,"{'a': 0.002, 'e': 0.7482635675785653}",25,0,-140.47564720633588,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
147,False,"{'a': 0.002, 'e': 0.7467685359733571}",20,0,-117.30779052867902,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
148,False,"{'a': 0.002, 'e': 0.7452764914432887}",20,0,-65.59516853921097,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
149,False,"{'a': 0.002, 'e': 0.7437874280201796}",20,8,-35.71326293107896,"{0: 7, 1: 2, 2: 2, 3: 1, 4: 0}",1
